Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,WIN,SPR,SUM,AUT,ANN
1961,15.4,18,13.3,17.6,10,13.4,12.8,19.5,20.6,21.5,15.5,13.2,---,40.9,45.7,57.6,190.8
1962,23.7,15.7,8.4,11.6,12.8,12.6,9.8,22,19.1,12,13.7,16.3,52.6,32.8,44.3,44.9,177.7
1963,5,4.9,20.1,15.6,19.3,14.3,14.5,17.9,16.7,21.7,19.7,8.3,26.2,55,46.7,58.1,177.9
1964,12.1,9.8,8.8,19.4,17.1,13.1,14.7,16.5,18,13.8,17.4,19.4,30.2,45.3,44.2,49.2,180.1
1965,16.5,5.1,13.1,16.5,15.5,16.6,12.6,16.1,17,13.2,13.4,23.3,41,45.1,45.3,43.6,179
1966,10.5,16.5,19.4,11.8,16.7,15.6,11.8,12,14.6,17,17.3,25.6,50.3,47.9,39.5,48.9,188.8
1967,17.5,17.7,23.6,12.6,20.4,11.9,18.1,14.3,17.4,25.4,16.6,17,60.8,56.6,44.4,59.3,212.6
1968,19.3,12.2,17.3,11.4,13.4,11.6,10.1,9.6,17.2,19.8,10.5,11.4,48.5,42.1,31.3,47.5,163.8
1969,21.8,9.5,7.3,11.4,15.2,13.5,14.4,13.4,13.8,16.9,20.9,16.5,42.7,33.9,41.2,51.5,174.4
1970,17.5,15.4,14.9,15,13.6,9.9,18.8,10.3,20.3,19,23.2,13.6,49.5,43.5,39.1,62.5,191.6
1971,16.6,15.7,14.2,7.1,13.4,12.4,10.4,15.6,11.1,17.7,18.7,14.3,46,34.7,38.5,47.4,167.3
1972,18.8,15.9,13.6,16.6,17.1,19.8,12,10.7,6.2,10.3,19.8,19.5,48.9,47.3,42.5,36.2,180.2
1973,17,17.5,11.5,10.7,16.4,12,12.4,16.7,11.9,11.7,17.6,22.1,54,38.6,41,41.2,177.5
1974,25.8,19.1,10.9,2.9,14.1,12.1,19,17.1,21.9,14.3,22.2,28.4,67.1,27.9,48.2,58.4,207.9
1975,27.4,9.2,9.2,16.3,6.4,9.3,14.8,12.5,20.7,11.6,17,15.1,65,31.9,36.6,49.3,169.5
1976,21.8,14.4,15.8,10.9,19.7,13.9,10.4,5.1,13.2,20.2,18.2,17.3,51.4,46.4,29.4,51.6,180.9
1977,15.2,16.7,19.4,19.6,8.9,9.9,9.9,12.6,17.4,20.2,19.9,16.1,49.2,48,32.4,57.4,185.8
1978,20.2,12.7,22.8,8.3,6,11.4,11.8,16.2,21.6,17,20.7,17.7,49.1,37,39.4,59.3,186.4
1979,17.2,7.6,18,15.6,15.9,11.6,15.7,16.7,18.4,20.2,24.2,19.7,42.4,49.5,44,62.8,200.7
1980,14.6,16.1,17.9,4.3,6.1,18.1,15.6,17.1,24.3,18.4,17.4,24,50.3,28.3,50.8,60.1,194
1981,22.1,12.4,19.7,6.2,18.4,15.8,17.1,9.6,19.9,22.2,21.7,10.1,58.5,44.2,42.4,63.7,195
1982,17,16.4,18.3,9.9,12.3,11.1,9.4,20.4,20.3,20.2,23,21.6,43.4,40.5,40.9,63.5,199.8
1983,25.7,7.8,23.2,12.7,16.3,11.8,6.8,7.4,20.4,25.9,9.5,21.7,55.1,52.2,25.9,55.8,189
1984,24.6,15.4,10.7,8.6,5.4,12.1,8.2,9.1,19.3,23.9,19.4,22,61.7,24.6,29.3,62.6,178.5
1985,10.6,7.2,14.1,17.4,9.6,13.7,21.4,26.8,20.4,10.5,13,21.9,39.8,41,62,43.8,186.5
1986,20.2,2.8,22.5,12.3,23.5,9.8,15.5,13.3,8.5,20.2,25.5,26.5,44.9,58.3,38.6,54.2,200.6
1987,9.3,12,18.4,11.3,10.5,14.5,14.1,14,19.2,20.2,16.1,15.8,47.8,40.2,42.6,55.5,175.4
1988,24.2,17.6,22,12,9.6,6,25.6,21.2,18.2,18.9,13.4,19.8,57.6,43.6,52.8,50.5,208.4
1989,19.5,22.8,23.1,14,9,10.6,7.9,21.7,12.8,22.8,10.2,10.4,62.1,46.1,40.2,45.8,184.9
1990,27.8,25.3,20.9,16.5,10.3,17.2,12.2,19.7,15,21,12.7,17.4,63.5,47.7,49,48.7,215.9
1991,17.2,11.8,16.2,14.7,6.5,16.4,14,13.3,12.9,14.3,21.9,15.3,46.4,37.4,43.7,49,174.4
1992,11.2,21.2,25.3,19.5,11.7,6.9,16.7,23.8,20.1,14,25.9,17.5,47.7,56.5,47.4,60,213.8
1993,25.7,10.3,16.5,16,12.8,11.4,19.4,12.9,11.6,9.4,12,25.1,53.5,45.3,43.7,33,183
1994,25.4,12.9,27.2,19.2,5.9,18.5,13.3,14.4,14.8,16.4,20.8,24.5,63.4,52.3,46.2,52.1,213.4
1995,23,22.5,23,11,15,7,14.1,7.9,15.5,24,12.6,8.1,70.1,49,28.9,52,183.6
1996,15.7,17.1,6.2,19.2,13,11.9,12.4,11.5,8.3,24.4,19.3,12.1,40.9,38.4,35.9,51.9,171.1
1997,8.7,24.4,19.1,9.2,12.4,14.5,13.9,11.2,13.9,13.5,18.3,20,45.2,40.7,39.7,45.7,179.1
1998,18.8,20.6,16.8,15,9.3,15.4,18.6,17.1,11,22.6,21.3,21.3,59.3,41.1,51.2,54.9,207.7
1999,23.8,18.9,15.2,15.8,16,14.8,13.2,12.1,20.3,15.8,17.2,24.9,63.9,47.1,40.1,53.4,208.1
2000,17.8,25.4,15.1,11.7,11.2,13.2,7.4,17.6,20.5,24.7,21.8,17.9,68.1,38,38.3,67,204.4
2001,15,12.8,11.5,14.5,8.8,13.6,14.8,16,12.8,25.2,20.9,13,45.8,34.8,44.4,58.9,179
2002,21.1,23.5,16.5,15.1,18.7,22.1,18.1,13.1,7.4,17.7,23.8,11.4,57.7,50.2,53.3,48.9,208.5
2003,17.8,10.3,11.2,9.6,21.9,14.4,15.9,7.5,15.2,11,20.9,15.5,39.5,42.6,37.9,47.1,171.1
2004,24,10.6,13.7,16.6,11.1,17.9,13.4,16.6,19.9,19.9,18.7,23.1,50.1,41.4,47.9,58.6,205.6
2005,19.8,13.3,13.7,15.5,15.9,13.6,8.4,15.9,17.1,19.3,17.2,14.8,56.2,45,38,53.7,184.6
2006,12.7,10.1,16.8,16.8,17.8,9.1,10.9,16.3,19.5,20.5,22.7,20.7,37.6,51.3,36.2,62.7,193.8
2007,23.4,15.6,15.3,7.6,17.5,14.9,15.8,16,13.7,13.4,18.8,17.7,59.7,40.5,46.7,45.9,189.7
2008,27,16.2,21.8,15.9,5.8,15,15.6,21.7,16.2,22.3,17.1,14.9,60.9,43.4,52.2,55.6,209.3
2009,19.6,11.8,18.6,14.4,18.7,9.4,19.7,23.7,14.1,18.6,23.2,14.7,46.3,51.7,52.8,55.9,206.4
2010,11.7,11,13.5,12.1,10.1,7.3,21.3,15.2,16.5,15.9,16.7,10.5,37.4,35.7,43.8,49.1,161.7
2011,15.9,22.1,13.2,10.6,22.7,16.2,11.7,17.8,21.9,26.1,18.3,28.8,48.5,46.5,45.7,66.4,225.4
2012,19.6,15.8,9.6,14.1,10.5,15.9,18.6,18.9,20.1,16.7,21.9,21.1,64.2,34.2,53.4,58.7,202.7
